assetName,siteName,contactEmail,manufacturer,model,serialNumber,assetType,size,installDate,expectedLifetime,status,refrigerantType,notes
Carrier 4-Ton AC Unit,Smith Residence - Primary,john.smith@email.com,Carrier,24ACB4,SN-CAR-001,Air Conditioner,4 tons,2010-06-15,20,Active,R-410A,"15 years old, nearing end of life, compressor starting to struggle on hot days. Replacement quote needed."
Rheem 50-Gal Water Heater,Smith Residence - Primary,john.smith@email.com,Rheem,XE50T10HS45U0,SN-RHE-001,Water Heater,50 gallons,2015-03-20,12,Active,N/A,"Natural gas water heater, 10 years old, annual flush recommended."
Trane 3-Ton AC Unit,Smith Vacation Home,john.smith@email.com,Trane,XR14,SN-TRA-001,Air Conditioner,3 tons,2017-05-10,20,Active,R-410A,"Seasonal use only, low operating hours, excellent condition. Annual PM before summer season."
Rheem 2-Ton AC Unit,Martinez Condo - Unit 204,sarah.martinez@email.com,Rheem,RA14,SN-RHE-002,Air Conditioner,2 tons,2023-08-01,20,Active,R-410A,"New construction, under manufacturer warranty until 2033. Setup annual PM schedule."
Carrier 10-Ton RTU #1,Johnson Office Building - Main,mike.johnson@commercialbldg.com,Carrier,50TCA10,SN-CAR-002,Rooftop Unit,10 tons,2012-04-15,15,Active,R-410A,"Roof unit serving floors 1-3, economizer functional, quarterly PM contract."
Carrier 10-Ton RTU #2,Johnson Office Building - Main,mike.johnson@commercialbldg.com,Carrier,50TCA10,SN-CAR-003,Rooftop Unit,10 tons,2012-04-15,15,Active,R-410A,"Roof unit serving floors 4-6, economizer functional, quarterly PM contract."
Carrier 10-Ton RTU #3,Johnson Office Building - Main,mike.johnson@commercialbldg.com,Carrier,50TCA10,SN-CAR-004,Rooftop Unit,10 tons,2012-04-15,15,Active,R-410A,"Roof unit serving floors 7-9, economizer functional, quarterly PM contract."
Trane 7.5-Ton RTU #1,Johnson Office Building - Annex,mike.johnson@commercialbldg.com,Trane,YCD090,SN-TRA-002,Rooftop Unit,7.5 tons,2020-06-10,15,Active,R-410A,"Annex unit #1, newer equipment, excellent condition, BAS integrated."
Trane 7.5-Ton RTU #2,Johnson Office Building - Annex,mike.johnson@commercialbldg.com,Trane,YCD090,SN-TRA-003,Rooftop Unit,7.5 tons,2020-06-10,15,Active,R-410A,"Annex unit #2, newer equipment, excellent condition, BAS integrated."
Daikin 12-Ton RTU #1,Downtown Retail Plaza - North,emily.davis@retailplaza.com,Daikin,DCM120,SN-DAI-001,Rooftop Unit,12 tons,2007-09-20,15,Active,R-410A,"Older unit, high operating hours due to retail traffic, recommend replacement soon."
Daikin 12-Ton RTU #2,Downtown Retail Plaza - North,emily.davis@retailplaza.com,Daikin,DCM120,SN-DAI-002,Rooftop Unit,12 tons,2007-09-20,15,Active,R-410A,"Older unit, high operating hours, recommend replacement soon."
Lennox 10-Ton RTU #1,Downtown Retail Plaza - North,emily.davis@retailplaza.com,Lennox,LGH100H4,SN-LEN-001,Rooftop Unit,10 tons,2010-11-15,15,Active,R-410A,"Serving retail zone 3, economizer needs recalibration."
York 15-Ton RTU #1,Downtown Retail Plaza - South,emily.davis@retailplaza.com,York,ZF180,SN-YOR-001,Rooftop Unit,15 tons,2008-03-10,15,Active,R-410A,"Food court HVAC, humidity control critical, quarterly PM."
York 15-Ton RTU #2,Downtown Retail Plaza - South,emily.davis@retailplaza.com,York,ZF180,SN-YOR-002,Rooftop Unit,15 tons,2008-03-10,15,Active,R-410A,"Food court HVAC, humidity control critical, quarterly PM."
Trane Process Chiller #1,Wilson Manufacturing - Production Floor,robert.wilson@manufacturing.com,Trane,CGAM100,SN-TRA-004,Chiller,100 tons,2005-07-20,25,Active,R-134a,"Mission-critical process cooling, 2-hour SLA, predictive maintenance contract."
Trane Process Chiller #2,Wilson Manufacturing - Production Floor,robert.wilson@manufacturing.com,Trane,CGAM100,SN-TRA-005,Chiller,100 tons,2005-07-20,25,Active,R-134a,"Backup chiller, N+1 redundancy, annual vibration analysis."
Carrier AHU #1,Wilson Manufacturing - Production Floor,robert.wilson@manufacturing.com,Carrier,39M,SN-CAR-005,Air Handler,20000 CFM,2010-05-15,20,Active,N/A,"Production floor ventilation, ASHRAE 62.1 compliance, TAB report on file."
Liebert Precision AC #1,Phoenix Data Center - Server Room A,jennifer.taylor@datacenter.com,Liebert,DSE125,SN-LIE-001,Precision Cooling,12.5 tons,2017-08-10,15,Active,R-410A,"Server room precision cooling, N+1 redundancy, 24/7 monitoring."
Liebert Precision AC #2,Phoenix Data Center - Server Room A,jennifer.taylor@datacenter.com,Liebert,DSE125,SN-LIE-002,Precision Cooling,12.5 tons,2017-08-10,15,Active,R-410A,"Server room precision cooling, N+1 redundancy, 24/7 monitoring."
Liebert Precision AC #3,Phoenix Data Center - Server Room A,jennifer.taylor@datacenter.com,Liebert,DSE125,SN-LIE-003,Precision Cooling,12.5 tons,2017-08-10,15,Active,R-410A,"Backup precision cooling unit, hot standby, monthly functional test."
Cummins 500kW Generator,Phoenix Data Center - Server Room A,jennifer.taylor@datacenter.com,Cummins,C500D6RG,SN-CUM-001,Generator,500 kW,2017-08-10,25,Active,N/A,"Emergency backup power, Tier III uptime, monthly load bank test."
APC UPS 200kVA,Phoenix Data Center - Server Room A,jennifer.taylor@datacenter.com,APC,Symmetra PX,SN-APC-001,UPS,200 kVA,2017-08-10,10,Active,N/A,"Uninterruptible power supply, battery replacement every 5 years, last replaced 2022."
Liebert Precision AC #4,Phoenix Data Center - Server Room B,jennifer.taylor@datacenter.com,Liebert,DSE125,SN-LIE-004,Precision Cooling,12.5 tons,2017-08-10,15,Active,R-410A,"Server room B cooling, N+1 redundancy, 24/7 monitoring."
Cummins 500kW Generator #2,Phoenix Data Center - Server Room B,jennifer.taylor@datacenter.com,Cummins,C500D6RG,SN-CUM-002,Generator,500 kW,2017-08-10,25,Active,N/A,"Emergency backup power, Tier III uptime, monthly load bank test."
