firstName,lastName,email,phone,company,customerType,trade,serviceAddress,city,state,zip,notes,status
John,Smith,john.smith@email.com,555-123-4567,Smith Residence,Residential,HVAC,"123 Main Street","Phoenix","AZ","85001","Single-family home, 2,500 sq ft, 15-year-old AC unit needs replacement. High-value customer, potential Bronze service plan enrollment.",Active
Sarah,Martinez,sarah.martinez@email.com,555-234-5678,Martinez Property,Residential,HVAC,"456 Oak Avenue","Phoenix","AZ","85002","Condo, 1,200 sq ft, new construction. Just moved in, needs annual PM setup. Referred by realtor.",Active
Michael,Johnson,mike.johnson@commercialbldg.com,555-345-6789,Johnson Commercial Properties,Commercial,HVAC,"789 Business Blvd","Phoenix","AZ","85003","Office building, 25,000 sq ft, 3x RTUs on roof. Quarterly PM contract, emergency service priority.",Active
Emily,Davis,emily.davis@retailplaza.com,555-456-7890,Downtown Retail Plaza,Commercial,Multi-Trade,"1010 Downtown Street","Phoenix","AZ","85004","Retail plaza, 50,000 sq ft. HVAC + Plumbing + Electrical service. High-traffic location, needs 24/7 support.",Active
Robert,Wilson,robert.wilson@manufacturing.com,555-567-8901,Wilson Manufacturing Inc,C&I,HVAC,"2020 Industrial Way","Phoenix","AZ","85005","Manufacturing facility, 100,000 sq ft, process cooling critical. Mission-critical SLA, 2-hour response time.",Active
Jennifer,Taylor,jennifer.taylor@datacenter.com,555-678-9012,Phoenix Data Center,C&I,Electrical,"3030 Tech Drive","Phoenix","AZ","85006","Data center, 75,000 sq ft, Tier III uptime (99.982%). Emergency power systems, UPS, generators. Critical infrastructure.",Active
David,Anderson,david.anderson@solarfarm.com,555-789-0123,Arizona Solar Farm LLC,Utility-Scale,Solar,"4040 Solar Road","Phoenix","AZ","85007","50 MW solar farm, 150 acres. O&M contract, inverter maintenance, tracker calibration. PPA with utility.",Active
Lisa,Thomas,lisa.thomas@email.com,555-890-1234,Thomas Residence,Residential,Plumbing,"567 Elm Street","Phoenix","AZ","85008","Single-family home, tankless water heater replacement needed. Emergency service for leak, potential Bronze plan.",Active
James,Jackson,james.jackson@restaurant.com,555-901-2345,Jackson's Steakhouse,Commercial,Plumbing,"678 Restaurant Row","Phoenix","AZ","85009","Restaurant, grease interceptor maintenance, backflow testing. Health department inspections quarterly.",Active
Mary,White,mary.white@hospital.com,555-012-3456,Phoenix General Hospital,C&I,Plumbing,"789 Medical Center Blvd","Phoenix","AZ","85010","Hospital, medical gas systems, backflow preventers. Mission-critical, ASSE 6010 certified technicians only.",Active
Christopher,Harris,chris.harris@email.com,555-123-4568,Harris Residence,Residential,Electrical,"890 Maple Drive","Phoenix","AZ","85011","Single-family home, panel upgrade for EV charger. Tesla owner, needs 60A circuit install.",Active
Patricia,Martin,patricia.martin@officetower.com,555-234-5679,Downtown Office Tower LLC,Commercial,Electrical,"901 Corporate Plaza","Phoenix","AZ","85012","Office tower, 15 floors, electrical service upgrade. LED lighting retrofit, emergency power testing.",Active
Daniel,Thompson,daniel.thompson@warehouse.com,555-345-6780,Thompson Logistics,C&I,Electrical,"1012 Warehouse Lane","Phoenix","AZ","85013","Warehouse, 200,000 sq ft, high-bay lighting, conveyor systems. Arc flash study required, NFPA 70E compliance.",Active
Nancy,Garcia,nancy.garcia@email.com,555-456-7891,Garcia Residence,Residential,Solar,"1123 Sunset Boulevard","Phoenix","AZ","85014","Single-family home, 8kW solar system. Cash purchase, ITC claiming. Homeowner wants monitoring app access.",Active
Matthew,Martinez,matthew.martinez@retailchain.com,555-567-8902,Retail Chain Store #42,Commercial,Solar,"1234 Shopping Center Way","Phoenix","AZ","85015","Retail store, 300kW rooftop solar. PPA agreement, net metering. Utility demand charge reduction critical.",Active
Karen,Robinson,karen.robinson@manufacturing.com,555-678-9013,Robinson Industrial Solar,C&I,Solar,"1345 Solar Industrial Pkwy","Phoenix","AZ","85016","Industrial facility, 2 MW rooftop + carport solar. Cash purchase, MACRS depreciation, battery storage.",Active
Joseph,Clark,joseph.clark@email.com,555-789-0124,Clark Residence,Residential,Roofing,"1456 Ridge Road","Phoenix","AZ","85017","Single-family home, tile roof replacement. Insurance claim for storm damage. Needs architectural shingles.",Active
Susan,Rodriguez,susan.rodriguez@apartments.com,555-890-1235,Sunnyvale Apartments,Commercial,Roofing,"1567 Apartment Complex Drive","Phoenix","AZ","85018","Apartment complex, 12 buildings, flat roofs. TPO membrane replacement, 10-year warranty required.",Active
Jason,Lewis,jason.lewis@school.edu,555-901-2346,Phoenix Elementary School,C&I,Fire Protection,"1678 School Street","Phoenix","AZ","85019","Elementary school, fire sprinkler system upgrade. NFPA 25 quarterly inspections, fire marshal approval.",Active
Ashley,Lee,ashley.lee@hospital.com,555-012-3457,Phoenix Medical Center,C&I,Fire Protection,"1789 Healthcare Avenue","Phoenix","AZ","85020","Hospital, fire alarm + sprinkler + suppression systems. NFPA 72 monitoring, Joint Commission compliance.",Active
