documentType,documentNumber,contactEmail,siteName,issueDate,dueDate,status,subtotal,tax,total,paymentTerms,description,lineItems
Invoice,INV-227,john.smith@email.com,Smith Residence - Primary,2024-12-15,2024-12-30,Paid,2200.00,200.00,2400.00,Net 15,"Emergency AC repair - compressor capacitor replacement","Compressor Capacitor Replacement: $150 | Refrigerant Recharge (R-410A 3 lbs): $450 | Labor (3 hours @ $200/hr): $600 | Emergency Service Fee: $1000"
Invoice,INV-228,sarah.martinez@email.com,Martinez Condo - Unit 204,2024-12-10,2024-12-25,Paid,137.50,12.50,150.00,Net 15,"Bronze service plan enrollment - annual PM visit","Bronze Service Plan Annual PM: $150"
Invoice,INV-229,lisa.thomas@email.com,Thomas Residence - Primary,2024-12-18,2025-01-02,Pending,777.78,72.22,850.00,Net 15,"Tankless water heater repair - igniter replacement","Igniter Replacement: $85 | Descaling Service: $120 | Labor (2 hours @ $200/hr): $400 | Parts Markup: $23"
Invoice,INV-230,nancy.garcia@email.com,Garcia Residence - Primary,2024-11-25,2024-12-10,Paid,21981.65,2018.35,24000.00,Net 30,"8kW residential solar install - cash purchase","Solar Panels (24x335W LONGi): $6720 | Enphase IQ8+ Microinverters (24): $4800 | Racking & Hardware: $1200 | Electrical (disconnect inverter wiring): $1500 | Permit & Interconnection: $800 | Labor (24 hours @ $150/hr): $3600 | Project Management: $1200 | Monitoring System: $300 | 25-Year Warranty: $861.65"
Invoice,INV-231,mike.johnson@commercialbldg.com,Johnson Office Building - Main,2024-12-01,2024-12-31,Paid,4583.33,416.67,5000.00,Net 30,"Quarterly PM visit - 3x Carrier RTUs","RTU #1 PM (filters refrigerant economizer): $1500 | RTU #2 PM (filters refrigerant economizer): $1500 | RTU #3 PM (filters refrigerant economizer): $1500 | TAB Verification: $250 | BAS Integration Check: $250"
Invoice,INV-232,jennifer.taylor@datacenter.com,Phoenix Data Center - Server Room A,2024-12-01,2024-12-31,Pending,18333.33,1666.67,20000.00,Net 30,"Monthly precision cooling PM + generator test","Liebert Precision AC PM (3 units @ $1200 each): $3600 | Generator Load Bank Test (500kW): $2500 | UPS Battery Check: $800 | 24/7 Monitoring Service: $8000 | Emergency On-Call (SLA): $3433.33"
Invoice,INV-233,david.anderson@solarfarm.com,Arizona Solar Farm - West Array,2024-12-01,2024-12-31,Pending,45833.33,4166.67,50000.00,Net 30,"Monthly O&M - 25MW solar farm","Inverter Inspection & Maintenance: $5000 | Tracker Calibration: $3000 | Panel Cleaning (50000 panels @ $0.10/panel): $5000 | Thermal Imaging Scan: $2000 | Vegetation Management: $1500 | SCADA Monitoring: $8000 | Production Reporting: $1000 | Emergency Response (on-call): $10000 | Parts Reserve: $10333.33"
Invoice,INV-234,james.jackson@restaurant.com,Jackson's Steakhouse - Kitchen,2024-12-15,2024-12-30,Paid,1375.00,125.00,1500.00,Net 15,"Quarterly grease interceptor pumping","Grease Interceptor Pumping (1000-gal): $800 | FOG Disposal: $200 | Baffle Inspection: $100 | Inlet/Outlet Cleaning: $150 | Health Dept Compliance Report: $125"
Quote,QUO-101,john.smith@email.com,Smith Residence - Primary,2024-12-20,2025-01-19,Pending,7798.17,701.83,8500.00,Net 30,"Carrier 4-ton AC replacement - 16 SEER","Carrier 4-Ton 16 SEER AC Unit: $4200 | Condenser Pad: $150 | Line Set (25 ft): $300 | Refrigerant (R-410A): $450 | Thermostat Upgrade (WiFi): $250 | Electrical Disconnect: $100 | Permit: $150 | Labor (12 hours @ $150/hr): $1800 | Disposal of Old Unit: $100 | 10-Year Parts Warranty: $298.17"
Quote,QUO-102,robert.wilson@manufacturing.com,Wilson Manufacturing - Production Floor,2024-12-21,2025-01-20,Pending,137614.68,12385.32,150000.00,Net 30,"Trane 100-ton chiller replacement - mission critical","Trane CGAM100 Chiller (100-ton): $85000 | Rigging & Crane: $8000 | Electrical (VFD 480V): $6000 | Piping Modifications: $5000 | Controls & BAS Integration: $7000 | Commissioning (TAB FPT): $4000 | Startup & Training: $2000 | 2-Hour SLA Service Contract (1-year): $12000 | Permit & Engineering: $3000 | Project Management: $5614.68"
Quote,QUO-103,chris.harris@email.com,Harris Residence - Primary,2024-12-22,2025-01-21,In Progress,4587.16,412.84,5000.00,Net 30,"200A panel upgrade + Tesla EV charger circuit","200A Main Panel (Square D): $800 | Panel Installation Labor (8 hours @ $150/hr): $1200 | 60A Dedicated Circuit (copper wire 50 ft): $350 | NEMA 14-50 Outlet: $75 | Breaker (60A): $45 | Conduit & Fittings: $200 | Load Calculation & Engineering: $300 | Permit: $250 | Inspection Fees: $100 | Final Connection & Testing: $1267.16"
Quote,QUO-104,emily.davis@retailplaza.com,Downtown Retail Plaza - North,2024-12-21,2025-01-20,Pending,18348.62,1651.38,20000.00,Net 30,"Daikin RTU #1 emergency replacement","Daikin 12-Ton RTU: $11000 | Rigging & Crane (rooftop): $2500 | Electrical (economizer wiring): $1200 | Gas Piping: $800 | Ductwork Modifications: $1000 | Controls & Thermostat: $500 | Permit: $200 | Labor (16 hours @ $150/hr): $2400 | Disposal of Old Unit: $200 | After-Hours Install (retail): $1548.62"
Invoice,INV-235,daniel.thompson@warehouse.com,Thompson Logistics - Warehouse A,2024-11-15,2024-12-15,Paid,14666.67,1333.33,16000.00,Net 30,"Arc flash study - NFPA 70E compliance","Site Survey & Data Collection: $2000 | Short Circuit Analysis: $3000 | Arc Flash Calculations (IEEE 1584): $4000 | Equipment Labeling (200 labels): $1500 | PPE Recommendations Report: $1000 | Training (4-hour class for 10 employees): $2000 | 3-Year Study Valid: $1166.67"
Invoice,INV-236,patricia.martin@officetower.com,Downtown Office Tower - Floors 1-8,2024-10-01,2024-10-31,Paid,36666.67,3333.33,40000.00,Net 30,"LED lighting retrofit - 300 fixtures","Philips LED Troffers (300 @ $75 each): $22500 | Installation Labor (40 hours @ $150/hr): $6000 | Disposal of Fluorescent Fixtures: $1000 | Photometric Plan & Engineering: $1500 | Permit: $300 | Utility Rebate Processing: $500 | Weekend Install Premium: $4000 | Testing & Commissioning: $866.67"
