siteName,contactEmail,address,city,state,zip,siteType,squareFeet,buildingAge,equipmentCount,notes
Smith Residence - Primary,john.smith@email.com,"123 Main Street","Phoenix","AZ","85001",Residential,2500,15,1,"Single-family home, 15-year-old Carrier 4-ton AC unit, needs replacement this summer."
Smith Vacation Home,john.smith@email.com,"999 Desert View Lane","Scottsdale","AZ","85250",Residential,1800,8,1,"Vacation home, seasonal use, Trane 3-ton AC, annual PM recommended."
Martinez Condo - Unit 204,sarah.martinez@email.com,"456 Oak Avenue, Unit 204","Phoenix","AZ","85002",Residential,1200,2,1,"New construction condo, Rheem 2-ton AC with 10-year warranty, PM setup needed."
Johnson Office Building - Main,mike.johnson@commercialbldg.com,"789 Business Blvd","Phoenix","AZ","85003",Commercial,25000,12,3,"3x Carrier 10-ton RTUs on roof, quarterly PM contract, building automation system."
Johnson Office Building - Annex,mike.johnson@commercialbldg.com,"795 Business Blvd","Phoenix","AZ","85003",Commercial,10000,5,2,"Annex building, 2x Trane 7.5-ton RTUs, tied to main building BAS."
Downtown Retail Plaza - North,emily.davis@retailplaza.com,"1010 Downtown Street","Phoenix","AZ","85004",Commercial,30000,18,5,"North section, 5x RTUs, high foot traffic, after-hours HVAC for restocking."
Downtown Retail Plaza - South,emily.davis@retailplaza.com,"1020 Downtown Street","Phoenix","AZ","85004",Commercial,20000,18,3,"South section, 3x RTUs, food court requires precise humidity control."
Wilson Manufacturing - Production Floor,robert.wilson@manufacturing.com,"2020 Industrial Way","Phoenix","AZ","85005",C&I,75000,20,10,"Production floor, process cooling critical, mission-critical SLA, 2-hour response."
Wilson Manufacturing - Office,robert.wilson@manufacturing.com,"2020 Industrial Way, Bldg B","Phoenix","AZ","85005",C&I,25000,20,3,"Office building, standard comfort cooling, separate from production systems."
Phoenix Data Center - Server Room A,jennifer.taylor@datacenter.com,"3030 Tech Drive","Phoenix","AZ","85006",C&I,40000,8,12,"Server Room A, Tier III uptime, N+1 redundancy, precision cooling."
Phoenix Data Center - Server Room B,jennifer.taylor@datacenter.com,"3030 Tech Drive, Building 2","Phoenix","AZ","85006",C&I,35000,8,10,"Server Room B, Tier III uptime, backup generators, UPS systems."
Arizona Solar Farm - West Array,david.anderson@solarfarm.com,"4040 Solar Road, West Section","Phoenix","AZ","85007",Utility-Scale,0,3,250,"West array, 25 MW, single-axis trackers, central inverters, O&M contract."
Arizona Solar Farm - East Array,david.anderson@solarfarm.com,"4040 Solar Road, East Section","Phoenix","AZ","85007",Utility-Scale,0,3,250,"East array, 25 MW, single-axis trackers, central inverters, O&M contract."
Thomas Residence - Primary,lisa.thomas@email.com,"567 Elm Street","Phoenix","AZ","85008",Residential,2200,10,2,"Single-family home, tankless water heater + traditional AC, emergency plumbing repair needed."
Jackson's Steakhouse - Kitchen,james.jackson@restaurant.com,"678 Restaurant Row","Phoenix","AZ","85009",Commercial,8000,15,6,"Restaurant kitchen, grease interceptor, backflow preventers, health dept inspections quarterly."
Phoenix General Hospital - Main Building,mary.white@hospital.com,"789 Medical Center Blvd","Phoenix","AZ","85010",C&I,150000,25,30,"Main hospital building, medical gas systems, mission-critical HVAC, ASSE 6010 required."
Phoenix General Hospital - Emergency Dept,mary.white@hospital.com,"789 Medical Center Blvd, Emergency Wing","Phoenix","AZ","85010",C&I,20000,10,5,"Emergency department, backup power critical, separate HVAC for negative pressure rooms."
Harris Residence - Primary,chris.harris@email.com,"890 Maple Drive","Phoenix","AZ","85011",Residential,2800,12,1,"Single-family home, panel upgrade for EV charger, Tesla owner, 60A circuit needed."
Downtown Office Tower - Floors 1-8,patricia.martin@officetower.com,"901 Corporate Plaza","Phoenix","AZ","85012",Commercial,60000,20,8,"Floors 1-8, central chiller plant, LED lighting retrofit planned, emergency power testing."
Downtown Office Tower - Floors 9-15,patricia.martin@officetower.com,"901 Corporate Plaza, Upper Floors","Phoenix","AZ","85012",Commercial,45000,20,6,"Floors 9-15, executive suites, VRF systems, high-end finishes, premium service required."
Thompson Logistics - Warehouse A,daniel.thompson@warehouse.com,"1012 Warehouse Lane","Phoenix","AZ","85013",C&I,120000,15,20,"Warehouse A, high-bay lighting, conveyor systems, arc flash study required."
Thompson Logistics - Warehouse B,daniel.thompson@warehouse.com,"1012 Warehouse Lane, Building B","Phoenix","AZ","85013",C&I,80000,15,15,"Warehouse B, cold storage section, refrigeration systems, IIAR compliance."
Garcia Residence - Primary,nancy.garcia@email.com,"1123 Sunset Boulevard","Phoenix","AZ","85014",Residential,2400,8,1,"Single-family home, 8kW solar system, cash purchase, ITC claiming, monitoring app."
Retail Chain Store #42 - Main,matthew.martinez@retailchain.com,"1234 Shopping Center Way","Phoenix","AZ","85015",Commercial,45000,10,8,"Retail store, 300kW rooftop solar, PPA agreement, net metering, demand charge reduction."
Robinson Industrial Solar - Production,karen.robinson@manufacturing.com,"1345 Solar Industrial Pkwy","Phoenix","AZ","85016",C&I,100000,12,25,"Industrial facility, 2 MW rooftop + carport solar, cash purchase, MACRS depreciation."
Robinson Industrial Solar - Warehouse,karen.robinson@manufacturing.com,"1345 Solar Industrial Pkwy, Warehouse","Phoenix","AZ","85016",C&I,50000,12,10,"Warehouse, battery storage systems, peak shaving, demand response program."
Clark Residence - Primary,joseph.clark@email.com,"1456 Ridge Road","Phoenix","AZ","85017",Residential,3200,20,1,"Single-family home, tile roof replacement, insurance claim, architectural shingles."
Sunnyvale Apartments - Buildings 1-6,susan.rodriguez@apartments.com,"1567 Apartment Complex Drive","Phoenix","AZ","85018",Commercial,48000,25,12,"Apartment complex, Buildings 1-6, flat roofs, TPO membrane replacement, 10-year warranty."
Sunnyvale Apartments - Buildings 7-12,susan.rodriguez@apartments.com,"1567 Apartment Complex Drive, Phase 2","Phoenix","AZ","85018",Commercial,48000,25,12,"Apartment complex, Buildings 7-12, flat roofs, TPO membrane replacement, 10-year warranty."
Phoenix Elementary School - Main Building,jason.lewis@school.edu,"1678 School Street","Phoenix","AZ","85019",C&I,35000,40,8,"Elementary school, fire sprinkler upgrade, NFPA 25 inspections, fire marshal approval."
Phoenix Elementary School - Gymnasium,jason.lewis@school.edu,"1678 School Street, Gym","Phoenix","AZ","85019",C&I,12000,40,2,"Gymnasium, high-ceiling sprinkler design, basketball court, after-hours use."
Phoenix Medical Center - Patient Tower,ashley.lee@hospital.com,"1789 Healthcare Avenue","Phoenix","AZ","85020",C&I,180000,15,40,"Patient tower, fire alarm + sprinkler + suppression, NFPA 72 monitoring, Joint Commission."
Phoenix Medical Center - Surgery Wing,ashley.lee@hospital.com,"1789 Healthcare Avenue, Surgery","Phoenix","AZ","85020",C&I,25000,15,8,"Surgery wing, clean agent suppression, medical gas alarms, negative pressure rooms."
